[platformTmall_429038utrh_1468122840,2.881619445E7]
[platformTaobao_429038utrh_1468122900,1.2904670969E8]
[platformTmall_429038utrh_1468123080,1.2379391225E8]
[platformTaobao_429038utrh_1468123140,1.3134479965E8]
[platformTaobao_429038utrh_1468122960,1.2618308211E8]
[platformTaobao_429038utrh_1468123080,1.2981444716E8]
[platformTmall_429038utrh_1468123140,1.2736939977E8]
[platformTmall_429038utrh_1468123020,1.2556261222E8]
[platformTaobao_429038utrh_1468123200,7.489037782E7]
[platformTaobao_429038utrh_1468122840,3.216622637E7]
[platformTmall_429038utrh_1468123200,7.854079599E7]
[platformTmall_429038utrh_1468122900,1.2616783737E8]
[platformTmall_429038utrh_1468122960,1.2843748024E8]
[platformTaobao_429038utrh_1468123020,1.2785263194E8]
[ratio_429038utrh_1468122840,2.97]
[ratio_429038utrh_1468122900,3.01]
[ratio_429038utrh_1468122960,2.98]
[ratio_429038utrh_1468123020,3.0]
[ratio_429038utrh_1468123080,2.99]
[ratio_429038utrh_1468123140,2.99]
[ratio_429038utrh_1468123200,2.99]
